2025-05-28 13:04:03 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-05-28 13:04:03 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 17.0.2 with PID 11692 (E:\JAVA\wms-ruoyi-master\ruoyi-admin-wms\target\classes started by admin in E:\JAVA\wms-ruoyi-master)
2025-05-28 13:04:03 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-05-28 13:04:05 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-05-28 13:04:06 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-05-28 13:04:06 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-05-28 13:04:06 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@2078bf0a
2025-05-28 13:04:06 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-05-28 13:04:06 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2025-05-28 13:04:06 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-05-28 13:04:06 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-05-28 13:04:07 [main] INFO  c.r.common.redis.config.RedisConfig - 初始化 redis 配置
2025-05-28 13:04:08 [main] INFO  org.redisson.Version - Redisson 3.29.0
2025-05-28 13:04:08 [redisson-netty-1-5] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for localhost/127.0.0.1:6379
2025-05-28 13:04:08 [redisson-netty-1-4] INFO  o.r.connection.ConnectionsHolder - 8 connections initialized for localhost/127.0.0.1:6379
2025-05-28 13:04:09 [main] INFO  c.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-05-28 13:04:10 [main] INFO  io.undertow - starting server: Undertow - 2.3.13.Final
2025-05-28 13:04:10 [main] INFO  org.xnio - XNIO version 3.8.8.Final
2025-05-28 13:04:10 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.8.Final
2025-05-28 13:04:10 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2025-05-28 13:04:10 [main] INFO  com.ruoyi.RuoYiApplication - Started RuoYiApplication in 8.05 seconds (process running for 8.959)
2025-05-28 13:04:10 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-05-28 13:04:10 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2025-05-28 13:04:10 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2025-05-28 13:31:00 [XNIO-1 task-2] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-28 13:31:00 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /captchaImage],无参数
2025-05-28 13:31:01 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /captchaImage],耗时:[642]毫秒
2025-05-28 13:31:04 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /login],参数类型[json],参数:[{"username":"ck","password":"lite2admin","code":"3","uuid":"6bdf9df4f9f54302b7ae42b96eaf3631"}]
2025-05-28 13:31:04 [schedule-pool-1] INFO  c.r.s.service.SysLogininforService - [127.0.0.1]内网IP[ck][Success][登录成功]
2025-05-28 13:31:04 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[POST /login],耗时:[496]毫秒
2025-05-28 13:31:04 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /getInfo],无参数
2025-05-28 13:31:04 [XNIO-1 task-5] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/itemCategory/listNoPage],无参数
2025-05-28 13:31:04 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/warehouse/listNoPage],无参数
2025-05-28 13:31:04 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/merchant/listNoPage],无参数
2025-05-28 13:31:05 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/merchant/listNoPage],耗时:[29]毫秒
2025-05-28 13:31:05 [XNIO-1 task-2] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/warehouse/listNoPage],耗时:[30]毫秒
2025-05-28 13:31:05 [XNIO-1 task-5] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/itemCategory/listNoPage],耗时:[30]毫秒
2025-05-28 13:31:05 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /getInfo],耗时:[66]毫秒
2025-05-28 13:31:05 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/itemCategory/treeselect],无参数
2025-05-28 13:31:05 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/itemCategory/treeselect],耗时:[10]毫秒
2025-05-28 13:31:05 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /getRouters],无参数
2025-05-28 13:31:05 [XNIO-1 task-4] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /getRouters],耗时:[10]毫秒
2025-05-28 13:31:05 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /wms/itemBrand/listNoPage],无参数
2025-05-28 13:31:05 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /wms/itemBrand/listNoPage],耗时:[11]毫秒
2025-05-28 13:34:54 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /logout],无参数
2025-05-28 13:34:54 [schedule-pool-1] INFO  c.r.s.service.SysLogininforService - [127.0.0.1]内网IP[ck][Logout][退出成功]
2025-05-28 13:34:54 [XNIO-1 task-3] INFO  c.r.s.listener.UserActionListener - user doLogout, userId:sys_user:1829105396288688129, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxODI5MTA1Mzk2Mjg4Njg4MTI5Iiwicm5TdHIiOiJBdFpqWEZBTEVOWDNwYTZxaTlnY0IzNUgySlRMcU10YiIsInVzZXJJZCI6MTgyOTEwNTM5NjI4ODY4ODEyOX0.uFfTkqPYc3VtJMALRgpWsY_0rXsGD8rgHw_rHvGs9WA
2025-05-28 13:34:54 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[POST /logout],耗时:[19]毫秒
2025-05-28 13:34:56 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /captchaImage],无参数
2025-05-28 13:34:56 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /captchaImage],耗时:[14]毫秒
2025-05-28 13:35:10 [XNIO-1 task-3] INFO  c.r.c.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /login],参数类型[json],参数:[{"username":"wms2_admin","password":"000000","code":"9","uuid":"eb91a24dc96841cab58d03448dda0437"}]
2025-05-28 13:35:10 [XNIO-1 task-3] INFO  c.r.system.service.SysLoginService - 登录用户：wms2_admin 不存在.
